ts,sinal,rot_score,dir_short,below_4h_open,ml_prob,dist_4h_pct,div_cl,rsi_mnq,adx_mnq,sma50_align,bb_w_cl,regime_bear,dist_sma200,hour,dow
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4763,-0.865,11.6,52.2,34.7,2,3.261,0,1.97,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4717,-1.042,9.47,49.4,34.7,2,3.27,0,1.79,14,2
2026-05-27 15:00:00,AGUARDAR,55.9,0,1,0.4637,-1.076,9.23,48.8,32.8,2,3.15,0,1.74,15,2
2026-05-27 15:00:00,AGUARDAR,55.9,0,1,0.4666,-1.079,8.31,48.8,32.8,2,3.138,0,1.74,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4705,-0.981,9.84,50.3,32.8,2,3.138,0,1.84,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4825,-1.078,8.7,48.8,32.8,2,3.142,0,1.74,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.484,-1.206,7.41,46.9,32.8,1,3.152,0,1.61,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4795,-1.1,8.64,48.5,32.8,2,3.146,0,1.72,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4721,-0.995,12.31,50.1,32.8,2,3.197,0,1.82,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4748,-1.121,10.35,48.2,32.8,1,3.197,0,1.7,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4844,-1.139,10.73,47.9,32.8,1,3.22,0,1.68,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4727,-1.192,8.42,47.1,32.8,1,3.171,0,1.62,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4697,-1.212,9.22,46.8,32.8,1,3.204,0,1.6,15,2
2026-05-27 15:00:00,AGUARDAR,67.6,0,1,0.4678,-1.113,11.03,48.3,32.8,1,3.216,0,1.7,15,2
2026-05-27 16:00:00,AGUARDAR,38.2,0,1,0.4755,-0.003,11.2,48.6,31.0,1,3.136,0,1.71,16,2
2026-05-27 16:00:00,AGUARDAR,38.2,0,0,0.4472,0.062,11.2,49.6,31.0,1,3.117,0,1.78,16,2
2026-05-27 16:00:00,AGUARDAR,38.2,0,0,0.4423,0.165,12.93,51.2,30.9,2,3.119,0,1.88,16,2
2026-05-27 16:00:00,AGUARDAR,38.2,0,0,0.4438,0.188,13.21,51.6,31.0,2,3.118,0,1.91,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.4438,0.213,14.64,51.9,31.0,2,3.137,0,1.93,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.421,0.18,14.92,51.5,31.0,2,3.163,0,1.9,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.4484,0.178,14.33,51.4,31.0,2,3.143,0,1.9,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.4335,0.244,15.61,52.4,31.0,2,3.154,0,1.96,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.4482,0.317,17.75,53.4,31.1,2,3.2,0,2.04,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.4492,0.352,17.95,53.9,31.2,2,3.187,0,2.07,16,2
2026-05-27 16:00:00,AGUARDAR,52.9,0,0,0.4486,0.307,17.21,53.3,31.2,2,3.182,0,2.03,16,2
