Datetime,mnq,div_cl,rot_score_short,below_4h_open,target,hour,dow,ml_prob,result,sinal
2025-01-27 10:00:00,20889.0,-39.99541404961192,64.7,1,0,10,0,0.5119935,LOSS,SHORT
2025-01-29 15:00:00,21506.25,-0.40136634701757146,61.8,1,0,15,2,0.59680575,LOSS,SHORT
2025-01-30 15:00:00,21461.75,-13.50781860403405,82.4,1,0,15,3,0.5276681,LOSS,SHORT
2025-01-31 18:00:00,21752.25,-0.3336114167101556,76.5,1,1,18,4,0.56804544,WIN,SHORT
2025-01-31 20:00:00,21580.25,-9.213778677152213,76.5,1,1,20,4,0.5040222,WIN,SHORT
2025-01-31 21:00:00,21555.75,-15.072323977623327,73.5,1,1,21,4,0.53077465,WIN,SHORT
2025-02-07 15:00:00,21722.75,-3.0510475584168546,76.5,1,1,15,4,0.55028564,WIN,SHORT
2025-02-12 13:00:00,21544.0,-13.263586793548583,76.5,1,0,13,2,0.621084,LOSS,SHORT
2025-02-19 14:00:00,22167.75,-23.956319162448928,73.5,1,0,14,2,0.5132236,LOSS,SHORT
2025-02-21 15:00:00,22006.25,-0.3223521286838178,76.5,1,1,15,4,0.5457197,WIN,SHORT
2025-02-25 14:00:00,21260.75,-4.773343371729254,67.6,1,1,14,1,0.6668904,WIN,SHORT
2025-02-26 19:00:00,21094.0,-5.371119470339515,70.6,1,0,19,2,0.5882814,LOSS,SHORT
2025-02-27 13:00:00,21307.75,-5.170588734892277,85.3,1,1,13,3,0.53065777,WIN,SHORT
2025-02-27 14:00:00,21008.0,-24.682572488047853,73.5,1,0,14,3,0.5933406,LOSS,SHORT
2025-02-27 15:00:00,21019.5,-31.036984461324394,64.7,1,1,15,3,0.6849058,WIN,SHORT
2025-03-06 17:00:00,20171.75,-7.6773814623342815,73.5,1,0,17,3,0.633739,LOSS,SHORT
2025-03-10 12:00:00,19913.0,-18.997970637630843,64.7,1,1,12,0,0.669856,WIN,SHORT
2025-03-13 13:00:00,19367.5,-4.178500759045178,61.8,1,1,13,3,0.7254613,WIN,SHORT
2025-03-26 09:00:00,20433.0,-3.0553635724939383,64.7,1,1,9,2,0.56908363,WIN,SHORT
2025-03-28 12:00:00,19864.25,-19.58484766089628,64.7,1,1,12,4,0.77225065,WIN,SHORT
2025-04-04 19:00:00,17535.75,-5.248506329465897,64.7,1,1,19,4,0.80757225,WIN,SHORT
2025-04-14 09:00:00,19067.0,-2.7771445923884883,64.7,1,1,9,0,0.6691568,WIN,SHORT
2025-04-16 12:00:00,18636.25,-16.76430979962784,64.7,1,1,12,2,0.6938864,WIN,SHORT
2025-04-16 13:00:00,18524.0,-20.957370102978892,73.5,1,1,13,2,0.67780614,WIN,SHORT
2025-04-17 15:00:00,18339.5,-31.952781361228666,64.7,1,0,15,3,0.6194606,LOSS,SHORT
2025-04-20 22:00:00,18289.5,-18.26672008448299,67.6,1,1,22,6,0.5756602,WIN,SHORT
2025-04-21 11:00:00,18106.0,-13.532760170466851,73.5,1,1,11,0,0.6946516,WIN,SHORT
2025-04-21 15:00:00,17796.25,-20.170512483304222,73.5,1,0,15,0,0.6159928,LOSS,SHORT
2025-04-21 17:00:00,17712.5,-26.522908799430894,64.7,1,0,17,0,0.5964569,LOSS,SHORT
2025-04-30 13:00:00,19117.75,-0.9610314815006404,67.6,1,0,13,2,0.56486267,LOSS,SHORT
2025-05-01 19:00:00,19877.5,-0.2333172256653242,67.6,1,0,19,3,0.55485165,LOSS,SHORT
2025-05-06 01:00:00,19959.0,-10.885079456037019,64.7,1,1,1,1,0.52361965,WIN,SHORT
2025-05-06 02:00:00,19954.75,-11.177667827160782,73.5,1,0,2,1,0.5332423,LOSS,SHORT
2025-05-06 08:00:00,19873.75,-20.412149785261164,82.4,1,1,8,1,0.5440955,WIN,SHORT
2025-05-06 09:00:00,19866.5,-22.37053258900398,82.4,1,1,9,1,0.5786345,WIN,SHORT
2025-05-08 13:00:00,20089.75,-7.44058313579891,67.6,1,0,13,3,0.5071466,LOSS,SHORT
2025-05-20 18:00:00,21348.75,-7.327807554205158,67.6,1,1,18,1,0.5075808,WIN,SHORT
2025-05-22 11:00:00,21079.75,-0.5154668425650115,67.6,1,0,11,3,0.5435751,LOSS,SHORT
