Datetime,mnq,div_cl,rot_score,above_4h_open,target,hour,dow,ml_prob,result
2025-02-06 17:00:00,21815.75,22.542249023692413,64.7,1,1,17,3,0.5729571,WIN
2025-02-14 13:00:00,22104.75,8.983392406180222,73.5,1,1,13,4,0.5123306,WIN
2025-03-03 05:00:00,20987.25,3.037941377891677,82.4,1,1,5,0,0.5272679,WIN
2025-03-03 09:00:00,21013.5,14.660631563073899,64.7,1,1,9,0,0.5632501,WIN
2025-03-03 16:00:00,20921.5,5.0645792746568645,67.6,1,0,16,0,0.53061706,LOSS
2025-03-06 15:00:00,20430.25,7.710520060073094,67.6,1,0,15,3,0.54164135,LOSS
2025-03-13 09:00:00,19605.5,1.4604304644453308,76.5,1,0,9,3,0.5883308,LOSS
2025-03-14 14:00:00,19610.25,10.60919320926925,64.7,1,1,14,4,0.54299307,WIN
2025-03-17 13:00:00,19790.25,5.873903058633324,91.2,1,1,13,0,0.6021306,WIN
2025-03-18 12:00:00,19905.5,1.2851716097964783,70.6,1,0,12,1,0.5448763,LOSS
2025-03-19 18:00:00,20024.25,6.027726645295871,73.5,1,0,18,2,0.50715107,LOSS
2025-03-24 00:00:00,20122.25,3.9861580037672155,61.8,1,0,0,0,0.5697228,LOSS
2025-03-24 12:00:00,20273.0,9.071609386439093,64.7,1,1,12,0,0.5490666,WIN
2025-04-01 15:00:00,19592.0,2.6896454468417303,73.5,1,0,15,1,0.5272702,LOSS
2025-04-02 14:00:00,19633.0,1.4610111090957076,61.8,1,0,14,2,0.54116577,LOSS
2025-04-22 13:00:00,18253.0,1.1323056017901436,82.4,1,0,13,1,0.55888873,LOSS
2025-04-23 10:00:00,18919.25,14.01961586327031,64.7,1,1,10,2,0.5368619,WIN
2025-04-24 14:00:00,19140.75,19.014562110566125,73.5,1,1,14,3,0.6235852,WIN
2025-04-24 15:00:00,19162.75,23.408439428281433,64.7,1,1,15,3,0.6278633,WIN
2025-04-30 19:00:00,19642.75,27.129539663425753,67.6,1,1,19,2,0.58907896,WIN
2025-04-30 20:00:00,19848.25,32.72298178423926,67.6,1,1,20,2,0.59158903,WIN
2025-05-02 13:00:00,20074.25,16.190338531453953,73.5,1,1,13,4,0.5873294,WIN
