feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
dist_sma50_es,continua,Q3[0.151-0.540],2959,0.2568435282189929,0.6995606623859412,0.010687082873495374,0.026136097425643823
bb_w_mnq,continua,Q2[0.433-0.690],2959,0.2568435282189929,0.6955052382561676,0.010687082873495374,0.022080673295870268
adx_btc,continua,Q1[6.359-17.890],2960,0.25675675675675674,0.6847972972972973,0.010600311411259195,0.01137273233699998
r_mnq_4h,continua,Q3[0.033-0.257],2959,0.25650557620817843,0.6931395741804663,0.010349130862680883,0.019715009220169
open_4h_dist_cl,continua,Q4[0.128-9.200],2960,0.25641891891891894,0.6773648648648649,0.010262473573421388,0.003940299904567568
di_spread_es,continua,Q4[8.558-44.303],2960,0.25641891891891894,0.7101351351351352,0.010262473573421388,0.03671057017483781
open_w_dist_cl,continua,Q4[1.564-63.339],2960,0.2560810810810811,0.6868243243243243,0.009924635735583526,0.01339975936402693
open_d_dist_cl,continua,Q1[-20.646--0.465],2960,0.2560810810810811,0.6885135135135135,0.009924635735583526,0.015088948553216186
dist_open_d_cl,continua,Q1[-20.646--0.465],2960,0.2560810810810811,0.6885135135135135,0.009924635735583526,0.015088948553216186
r_btc_1h,continua,Q2[-0.273-0.004],2959,0.2558296721865495,0.6816492058127746,0.009673226841051957,0.008224640852477205
r_es_1h,continua,Q3[0.004-0.080],2959,0.2548158161541061,0.6934775261912809,0.00865937080860854,0.020052961230983546
dist_sma50_mnq,continua,Q2[-0.429-0.212],2959,0.25413991213247716,0.6860425819533627,0.007983466786979615,0.012618016993065306
vol_mnq,continua,Q3[0.217-0.322],2959,0.25413991213247716,0.6809733017911457,0.007983466786979615,0.007548736830848335
di_spread_cl,continua,Q4[8.941-58.746],2960,0.25405405405405407,0.6851351351351351,0.00789760870855652,0.011710570174837787
di_spread_mnq,continua,Q4[8.271-50.097],2960,0.2537162162162162,0.7087837837837838,0.007559770870718657,0.03535921882348647
adx_es,continua,Q3[23.221-30.801],2959,0.25346400811084824,0.7002365664075701,0.007307562765350689,0.026812001447272804
di_spread_mnq,continua,Q3[-0.274-8.271],2959,0.2531260561000338,0.6772558296721866,0.006969610754536254,0.003831264711889215
open_w_dist_es,continua,Q4[0.746-7.212],2960,0.2527027027027027,0.6996621621621621,0.006546257357205126,0.026237597201864804
r_mnq_1h,continua,Q2[-0.092-0.008],2959,0.2524501520784049,0.6830010138560324,0.006293706732907328,0.009576448895735057
adx_cl,continua,Q2[17.732-23.041],2959,0.2524501520784049,0.696519094288611,0.006293706732907328,0.023094529328313684
bb_w_mnq,continua,Q3[0.690-1.146],2959,0.2524501520784049,0.6704967894558973,0.006293706732907328,-0.002927775504400043
dist_ema20_mnq,continua,Q3[0.083-0.358],2959,0.2524501520784049,0.6779317336938154,0.006293706732907328,0.0045071687335180854
dist_sma50_mnq,continua,Q3[0.212-0.757],2959,0.2521122000675904,0.6809733017911457,0.0059557547220928375,0.007548736830848335
vol_btc,continua,Q3[0.457-0.627],2959,0.25177424805677595,0.6806353497803312,0.005617802711278402,0.0072107848200339
r_mnq_1h,continua,Q3[0.008-0.110],2959,0.25143629604596146,0.6914498141263941,0.005279850700463912,0.018025249166096713
open_w_dist_mnq,continua,Q3[0.164-1.178],2959,0.25143629604596146,0.6823251098344035,0.005279850700463912,0.008900544874106187
rsi_es,continua,Q3[52.892-60.226],2959,0.251098344035147,0.6809733017911457,0.0049418986896494765,0.007548736830848335
adx_mnq,continua,Q2[17.690-23.331],2959,0.251098344035147,0.6802973977695167,0.0049418986896494765,0.006872832809219354
dist_ema20_mnq,continua,Q2[-0.210-0.083],2959,0.251098344035147,0.6846907739101048,0.0049418986896494765,0.011266208949807455
r_cl_4h,continua,Q1[-16.726--0.430],2960,0.25067567567567567,0.6797297297297298,0.00451923033017812,0.006305164769432436
dist_open_d_btc,continua,Q2[-0.641-0.000],2177,0.25034451079467157,0.6858061552595315,0.004188065449174022,0.012381590299234135
open_d_dist_btc,continua,Q2[-0.641-0.000],2177,0.25034451079467157,0.6858061552595315,0.004188065449174022,0.012381590299234135
r_es_1h,continua,Q2[-0.068-0.004],2959,0.2500844880027036,0.6769178776613721,0.00392804265720606,0.00349331270107478
rsi_btc,continua,Q4[57.938-84.695],2960,0.25,0.6959459459459459,0.0038435546545024513,0.022521380985648598
r_btc_1h,continua,Q1[-15.975--0.273],2960,0.25,0.6777027027027027,0.0038435546545024513,0.004278137742405375
open_w_dist_mnq,continua,Q4[1.178-10.109],2960,0.25,0.697972972972973,0.0038435546545024513,0.02454840801267566
open_w_dist_es,continua,Q3[0.098-0.746],2959,0.24974653599188915,0.6792835417370733,0.003590090646391597,0.005858976776775937
div_btc,continua,Q2[-5.908-1.847],2959,0.24974653599188915,0.6769178776613721,0.003590090646391597,0.00349331270107478
open_w_dist_cl,continua,Q2[-1.501-0.000],2891,0.24974057419578,0.6942234520927015,0.0035841288502824475,0.020798887132404187
dist_sma50_es,continua,Q4[0.540-8.765],2960,0.24966216216216217,0.6766891891891892,0.003505716816664617,0.0032646242288918437
r_mnq_4h,continua,Q2[-0.203-0.033],2959,0.24940858398107468,0.672524501520784,0.0032521386355771342,-0.0009000634395133211
bb_w_mnq,continua,Q1[0.067-0.433],2960,0.24932432432432433,0.6827702702702703,0.0031678789788267825,0.009345705309972918
open_4h_dist_btc,continua,Q3[0.000-0.182],4915,0.24923702950152593,0.6785350966429298,0.003080584156028382,0.005110531682632424
adx_cl,continua,Q3[23.041-30.447],2959,0.24907063197026022,0.6738763095640419,0.0029141866247626713,0.0004517446037445305
vol_btc,continua,Q1[0.113-0.339],2960,0.2489864864864865,0.6827702702702703,0.002830041140988948,0.009345705309972918
adx_cl,continua,Q4[30.447-65.916],2960,0.2489864864864865,0.6699324324324324,0.002830041140988948,-0.003492132527864955
r_btc_4h,continua,Q2[-0.537-0.014],2959,0.24873267995944576,0.6762419736397431,0.0025762346139482084,0.0028174086794457986
di_spread_btc,continua,Q2[-11.166--0.880],2959,0.2483947279486313,0.6613720851639068,0.0022382826031337455,-0.01205247979639057
dist_open_d_es,continua,Q1[-5.786--0.126],2960,0.2483108108108108,0.6665540540540541,0.0021543654653132516,-0.0068705109062432435
open_d_dist_es,continua,Q1[-5.786--0.126],2960,0.2483108108108108,0.6665540540540541,0.0021543654653132516,-0.0068705109062432435
div_cl,continua,Q1[-65.334--8.322],2960,0.2483108108108108,0.6722972972972973,0.0021543654653132516,-0.0011272676630000866
adx_es_alto,binaria,adx_es_alto=1,10512,0.24781202435312025,0.6742770167427702,0.0016555790076226984,0.0008524517824728406
dist_ema20_cl,continua,Q2[-0.528-0.029],2959,0.24771882392700237,0.6708347414667117,0.0015623785815048197,-0.002589823493585608
open_w_dist_mnq,continua,Q2[-0.641-0.164],2959,0.24771882392700237,0.6691449814126395,0.0015623785815048197,-0.004279583547657895
r_btc_4h,continua,Q4[0.606-22.583],2960,0.24763513513513513,0.6733108108108108,0.0014786897896375828,-0.00011375414948655571
dist_sma50_mnq,continua,Q4[0.757-11.624],2960,0.24763513513513513,0.6885135135135135,0.0014786897896375828,0.015088948553216186
adx_mnq_alto,binaria,adx_mnq_alto=1,10566,0.2473973121332576,0.6743327654741624,0.0012408667877600588,0.0009082005138650873
open_4h_dist_mnq,continua,Q4[0.074-9.011],2960,0.2472972972972973,0.6858108108108109,0.0011408519517997484,0.012386245850513511
div_es,continua,Q2[-2.277-0.047],2959,0.24704291990537344,0.6711726934775262,0.0008864745598758939,-0.0022518714827711728
dist_ema20_mnq,continua,Q4[0.358-8.730],2960,0.24695945945945946,0.6918918918918919,0.000803014113961914,0.018467326931594585
vol_mnq,continua,Q1[0.031-0.148],2960,0.24695945945945946,0.6844594594594594,0.000803014113961914,0.011034894499162062
adx_cl_alto,binaria,adx_cl_alto=1,10679,0.24655866654181102,0.6730030901769829,0.00040222119631347364,-0.0004214747833144461
open_4h_dist_mnq,continua,Q3[0.000-0.074],5092,0.2464650432050275,0.6763550667714061,0.000308597859529941,0.0029305018111087655
