asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
mnq,3147,1674,1260,213,53.2,0.362,0.362,20.29,656.4,0.3,1.5,2.0,24,both,"0,4,8,12,16,20"
mnq,1857,969,769,119,52.2,0.326,0.326,14.06,387.4,0.3,1.5,2.0,24,long,"0,4,8,12,16,20"
mnq,1290,705,491,94,54.7,0.413,0.413,14.83,269.1,0.3,1.5,2.0,24,short,"0,4,8,12,16,20"
mnq,1446,885,467,94,61.2,0.642,0.642,24.42,301.6,0.4,1.5,2.0,24,both,"0,4,8,12,16,20"
mnq,815,501,272,42,61.5,0.652,0.652,18.6,170.0,0.4,1.5,2.0,24,long,"0,4,8,12,16,20"
mnq,631,384,195,52,60.9,0.63,0.63,15.82,131.6,0.4,1.5,2.0,24,short,"0,4,8,12,16,20"
mnq,342,242,73,27,70.8,0.977,0.977,18.06,71.3,0.5,1.5,2.0,24,both,"0,4,8,12,16,20"
mnq,165,122,30,13,73.9,1.088,1.088,13.97,34.4,0.5,1.5,2.0,24,long,"0,4,8,12,16,20"
mnq,177,120,43,14,67.8,0.873,0.873,11.61,36.9,0.5,1.5,2.0,24,short,"0,4,8,12,16,20"
mnq,3826,572,878,2376,15.0,-0.827,-0.827,-51.17,798.1,0.0,1.5,3.0,6,both,"0,4,8,12,16,20"
mnq,2229,284,521,1424,12.7,-0.927,-0.927,-43.75,465.0,0.0,1.5,3.0,6,long,"0,4,8,12,16,20"
mnq,1597,288,357,952,18.0,-0.688,-0.688,-27.51,333.1,0.0,1.5,3.0,6,short,"0,4,8,12,16,20"
mnq,3826,572,878,2376,15.0,-0.827,-0.827,-51.17,798.1,0.1,1.5,3.0,6,both,"0,4,8,12,16,20"
mnq,2229,284,521,1424,12.7,-0.927,-0.927,-43.75,465.0,0.1,1.5,3.0,6,long,"0,4,8,12,16,20"
mnq,1597,288,357,952,18.0,-0.688,-0.688,-27.51,333.1,0.1,1.5,3.0,6,short,"0,4,8,12,16,20"
mnq,3821,572,878,2371,15.0,-0.826,-0.826,-51.08,797.0,0.2,1.5,3.0,6,both,"0,4,8,12,16,20"
mnq,2226,284,521,1421,12.8,-0.926,-0.926,-43.68,464.3,0.2,1.5,3.0,6,long,"0,4,8,12,16,20"
mnq,1595,288,357,950,18.1,-0.687,-0.687,-27.46,332.7,0.2,1.5,3.0,6,short,"0,4,8,12,16,20"
mnq,3147,553,829,1765,17.6,-0.709,-0.709,-39.79,656.4,0.3,1.5,3.0,6,both,"0,4,8,12,16,20"
mnq,1857,274,487,1096,14.8,-0.836,-0.836,-36.03,387.4,0.3,1.5,3.0,6,long,"0,4,8,12,16,20"
mnq,1290,279,342,669,21.6,-0.527,-0.527,-18.92,269.1,0.3,1.5,3.0,6,short,"0,4,8,12,16,20"
mnq,1446,329,368,749,22.8,-0.476,-0.476,-18.11,301.6,0.4,1.5,3.0,6,both,"0,4,8,12,16,20"
mnq,815,180,224,411,22.1,-0.506,-0.506,-14.45,170.0,0.4,1.5,3.0,6,long,"0,4,8,12,16,20"
mnq,631,149,144,338,23.6,-0.437,-0.437,-10.99,131.6,0.4,1.5,3.0,6,short,"0,4,8,12,16,20"
mnq,342,79,41,222,23.1,-0.461,-0.461,-8.52,71.3,0.5,1.5,3.0,6,both,"0,4,8,12,16,20"
mnq,165,35,16,114,21.2,-0.545,-0.545,-7.01,34.4,0.5,1.5,3.0,6,long,"0,4,8,12,16,20"
mnq,177,44,25,108,24.9,-0.381,-0.381,-5.07,36.9,0.5,1.5,3.0,6,short,"0,4,8,12,16,20"
mnq,3826,705,1013,2108,18.4,-0.671,-0.671,-41.49,798.1,0.0,1.5,3.0,8,both,"0,4,8,12,16,20"
mnq,2229,353,594,1282,15.8,-0.787,-0.787,-37.17,465.0,0.0,1.5,3.0,8,long,"0,4,8,12,16,20"
mnq,1597,352,419,826,22.0,-0.508,-0.508,-20.31,333.1,0.0,1.5,3.0,8,short,"0,4,8,12,16,20"
mnq,3826,705,1013,2108,18.4,-0.671,-0.671,-41.49,798.1,0.1,1.5,3.0,8,both,"0,4,8,12,16,20"
mnq,2229,353,594,1282,15.8,-0.787,-0.787,-37.17,465.0,0.1,1.5,3.0,8,long,"0,4,8,12,16,20"
mnq,1597,352,419,826,22.0,-0.508,-0.508,-20.31,333.1,0.1,1.5,3.0,8,short,"0,4,8,12,16,20"
mnq,3821,705,1013,2103,18.5,-0.67,-0.67,-41.4,797.0,0.2,1.5,3.0,8,both,"0,4,8,12,16,20"
mnq,2226,353,594,1279,15.9,-0.786,-0.786,-37.1,464.3,0.2,1.5,3.0,8,long,"0,4,8,12,16,20"
mnq,1595,352,419,824,22.1,-0.507,-0.507,-20.24,332.7,0.2,1.5,3.0,8,short,"0,4,8,12,16,20"
mnq,3147,668,928,1551,21.2,-0.545,-0.545,-30.56,656.4,0.3,1.5,3.0,8,both,"0,4,8,12,16,20"
mnq,1857,330,543,984,17.8,-0.7,-0.7,-30.18,387.4,0.3,1.5,3.0,8,long,"0,4,8,12,16,20"
mnq,1290,338,385,567,26.2,-0.321,-0.321,-11.53,269.1,0.3,1.5,3.0,8,short,"0,4,8,12,16,20"
mnq,1446,398,398,650,27.5,-0.261,-0.261,-9.94,301.6,0.4,1.5,3.0,8,both,"0,4,8,12,16,20"
mnq,815,213,240,362,26.1,-0.324,-0.324,-9.25,170.0,0.4,1.5,3.0,8,long,"0,4,8,12,16,20"
mnq,631,185,158,288,29.3,-0.181,-0.181,-4.54,131.6,0.4,1.5,3.0,8,short,"0,4,8,12,16,20"
mnq,342,103,47,192,30.1,-0.145,-0.145,-2.68,71.3,0.5,1.5,3.0,8,both,"0,4,8,12,16,20"
mnq,165,44,18,103,26.7,-0.3,-0.3,-3.85,34.4,0.5,1.5,3.0,8,long,"0,4,8,12,16,20"
mnq,177,59,29,89,33.3,0.0,0.0,0.0,36.9,0.5,1.5,3.0,8,short,"0,4,8,12,16,20"
mnq,3826,950,1268,1608,24.8,-0.383,-0.383,-23.67,798.1,0.0,1.5,3.0,12,both,"0,4,8,12,16,20"
mnq,2229,496,761,972,22.3,-0.499,-0.499,-23.54,465.0,0.0,1.5,3.0,12,long,"0,4,8,12,16,20"
mnq,1597,454,507,636,28.4,-0.221,-0.221,-8.82,333.1,0.0,1.5,3.0,12,short,"0,4,8,12,16,20"
mnq,3826,950,1268,1608,24.8,-0.383,-0.383,-23.67,798.1,0.1,1.5,3.0,12,both,"0,4,8,12,16,20"
mnq,2229,496,761,972,22.3,-0.499,-0.499,-23.54,465.0,0.1,1.5,3.0,12,long,"0,4,8,12,16,20"
mnq,1597,454,507,636,28.4,-0.221,-0.221,-8.82,333.1,0.1,1.5,3.0,12,short,"0,4,8,12,16,20"
