asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
cl,3396,704,1994,698,20.7,0.018,0.018,1.06,708.4,0.2,0.5,2.0,8,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4046,723,2623,700,17.9,-0.053,-0.053,-3.39,844.0,0.2,0.5,2.0,8,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,6484,1397,4109,978,21.5,0.039,0.039,3.11,1352.5,0.3,0.5,2.0,8,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,2857,688,1714,455,24.1,0.102,0.102,5.45,596.0,0.3,0.5,2.0,8,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,3627,709,2395,523,19.5,-0.011,-0.011,-0.68,756.6,0.3,0.5,2.0,8,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4450,1081,2908,461,24.3,0.107,0.107,7.16,928.2,0.4,0.5,2.0,8,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,1887,530,1154,203,28.1,0.202,0.202,8.78,393.6,0.4,0.5,2.0,8,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,2563,551,1754,258,21.5,0.037,0.037,1.9,534.6,0.4,0.5,2.0,8,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,1631,435,1007,189,26.7,0.167,0.167,6.74,340.2,0.5,0.5,2.0,8,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,639,211,345,83,33.0,0.326,0.326,8.23,133.3,0.5,0.5,2.0,8,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,992,224,662,106,22.6,0.065,0.065,2.03,206.9,0.5,0.5,2.0,8,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,7473,1637,4927,909,21.9,0.048,0.048,4.12,1558.8,0.0,0.5,2.0,12,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,3418,807,2161,450,23.6,0.09,0.09,5.28,713.0,0.0,0.5,2.0,12,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4055,830,2766,459,20.5,0.012,0.012,0.75,845.9,0.0,0.5,2.0,12,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
