combo,n,wr_1h,edge_1h,wr_4h,edge_4h
es_btc_discordam_mnq + open_4h_acima_4h_ant_cl + open_d_acima_d_ant_mnq,140,0.32142857142857145,0.0752721260830739,0.6928571428571428,0.019432577896845493
es_btc_discordam_mnq + open_4h_acima_4h_ant_mnq + open_w_acima_w_ant_es,112,0.32142857142857145,0.0752721260830739,0.7232142857142857,0.049789720753988354
es_btc_discordam_mnq + rsi_cl_acima_60 + open_d_acima_d_ant_mnq,56,0.32142857142857145,0.0752721260830739,0.7321428571428571,0.05871829218255975
rsi_mnq_acima_60 + rsi_cl_abaixo_40 + open_4h_acima_4h_ant_es,330,0.3212121212121212,0.07505567586662368,0.7757575757575758,0.10233301079727841
es_mnq_oposto + open_4h_acima_4h_ant_es + above_ema20_es,433,0.3210161662817552,0.07485972093625767,0.7505773672055427,0.07715280224524534
rsi_cl_acima_60 + open_d_acima_d_ant_btc + is_evening,240,0.32083333333333336,0.07467688798783581,0.7708333333333334,0.09740876837303603
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + open_d_acima_d_ant_btc,159,0.32075471698113206,0.07459827163563451,0.6918238993710691,0.018399334410771795
es_mnq_oposto + open_d_acima_d_ant_cl + above_ema20_btc,262,0.32061068702290074,0.0744542416774032,0.7290076335877863,0.05558306862748896
es_mnq_oposto + open_4h_acima_4h_ant_btc + open_w_acima_w_ant_mnq,231,0.3203463203463203,0.07418987500082277,0.7402597402597403,0.06683517529944294
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + open_1h_acima_close_ant_cl,128,0.3203125,0.07415605465450245,0.7890625,0.11563793503970266
es_mnq_oposto + open_4h_acima_4h_ant_es + open_w_acima_w_ant_mnq,253,0.3201581027667984,0.07400165742130085,0.7193675889328063,0.045943023972508934
es_mnq_oposto + open_1h_acima_close_ant_es + above_sma50_cl,175,0.32,0.07384355465450246,0.7314285714285714,0.05800400646827408
es_btc_discordam_mnq + above_ema20_es + is_us,147,0.3197278911564626,0.07357144581096506,0.7482993197278912,0.07487475476759387
rsi_cl_acima_60 + open_1h_acima_close_ant_es + above_sma50_es,360,0.3194444444444444,0.07328799909894687,0.7111111111111111,0.03768654615081379
es_mnq_oposto + rsi_mnq_acima_60 + open_d_acima_d_ant_es,191,0.3193717277486911,0.07321528240319355,0.7801047120418848,0.10668014708158746
es_mnq_oposto + btc_mnq_mesmo_sentido + above_sma50_es,401,0.3192019950124688,0.07304554966697127,0.743142144638404,0.06971757967810666
es_btc_discordam_mnq + open_1h_acima_close_ant_cl + open_d_acima_d_ant_cl,94,0.3191489361702128,0.07299249082471523,0.6595744680851063,-0.01385009687519101
es_mnq_oposto + open_4h_acima_4h_ant_btc + is_us,257,0.31906614785992216,0.0729097025144246,0.7120622568093385,0.0386376918490412
es_btc_discordam_mnq + open_d_acima_d_ant_es + adx_es_alto,232,0.31896551724137934,0.07280907189588179,0.7198275862068966,0.04640302124659923
es_mnq_oposto + open_1h_acima_close_ant_btc + open_d_acima_d_ant_mnq,298,0.3187919463087248,0.07263550096322727,0.7315436241610739,0.058119059200776535
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + above_ema20_btc,182,0.31868131868131866,0.07252487333582111,0.7252747252747253,0.05185016031442791
es_btc_discordam_mnq + rsi_mnq_abaixo_40 + open_w_acima_w_ant_es,22,0.3181818181818182,0.07202537283632063,0.6818181818181818,0.008393616857884423
es_mnq_oposto + open_1h_acima_close_ant_btc + open_d_acima_d_ant_cl,261,0.31800766283524906,0.07185121748975151,0.735632183908046,0.06220761894774862
es_mnq_oposto + open_1h_acima_close_ant_es + open_d_acima_d_ant_mnq,151,0.31788079470198677,0.07172434935648922,0.7350993377483444,0.061674772788047005
es_mnq_oposto + rsi_cl_acima_60 + open_d_acima_d_ant_mnq,129,0.3178294573643411,0.07167301201884355,0.7286821705426356,0.055257605582338276
es_btc_discordam_mnq + open_4h_acima_4h_ant_btc + open_d_acima_d_ant_cl,129,0.3178294573643411,0.07167301201884355,0.7054263565891473,0.032001791628849974
es_mnq_oposto + btc_mnq_mesmo_sentido + above_ema20_es,384,0.3177083333333333,0.07155188798783577,0.7421875,0.06876293503970266
es_mnq_oposto + open_d_acima_d_ant_es + above_ema20_mnq,384,0.3177083333333333,0.07155188798783577,0.7447916666666666,0.07136710170636928
es_btc_discordam_mnq + open_d_acima_d_ant_es + above_sma50_es,170,0.3176470588235294,0.07149061347803184,0.7470588235294118,0.07363425856911443
es_mnq_oposto + open_d_acima_d_ant_es + above_ema20_cl,274,0.3175182481751825,0.07136180282968493,0.7153284671532847,0.04190390219298734
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_sma50_cl,126,0.31746031746031744,0.0713038721148199,0.7142857142857143,0.04086114932541696
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + is_asia,104,0.3173076923076923,0.07115124696219474,0.6923076923076923,0.018883127347394946
es_btc_discordam_mnq + above_sma50_btc + is_asia,104,0.3173076923076923,0.07115124696219474,0.6634615384615384,-0.009963026498758909
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_sma50_es,186,0.3172043010752688,0.07104785572977126,0.7580645161290323,0.0846399511687349
es_mnq_oposto + open_d_acima_d_ant_es + is_us,246,0.3170731707317073,0.07091672538620977,0.7276422764227642,0.0542177114624669
