entry_time,exit_time,direction,result,bars_held,entry_mnq,exit_mnq,entry_cl,exit_cl,pnl_mnq_pct,pnl_cl_pct,pnl_total_pct,mnq_adx,cl_adx,mnq_rsi,cl_rsi,rsi_div,price_div,hour
2024-01-04 08:00:00,2024-01-04 13:00:00,SHORT_MNQ,WIN,5,16549.75,16457.07,73.74,73.39,0.56,0.47,1.03,67.5,38.5,35.7,65.2,-29.5,-7e-06,8.0
2024-01-05 04:00:00,2024-01-05 15:00:00,SHORT_MNQ,LOSS,11,16443.0,16500.94,72.71,73.56,-0.35,-1.17,-1.52,46.0,27.8,33.8,52.6,-18.8,-0.0,4.0
2024-01-08 16:00:00,2024-01-08 20:00:00,LONG_MNQ,WIN,4,16677.0,16805.14,70.32,71.03,0.77,-1.01,-0.24,25.2,33.7,68.2,30.8,37.4,-7e-06,16.0
2024-01-19 16:00:00,2024-01-19 18:00:00,LONG_MNQ,WIN,2,17265.75,17374.23,73.64,73.32,0.63,0.43,1.06,36.9,27.6,70.0,49.6,20.4,-2e-05,16.0
2024-01-19 21:00:00,2024-01-24 06:00:00,LONG_MNQ,WIN,41,17463.25,17612.34,73.71,74.58,0.85,-1.18,-0.33,43.1,22.1,80.1,50.5,29.6,-2e-06,21.0
2024-01-22 00:00:00,2024-01-22 15:00:00,LONG_MNQ,LOSS,12,17557.0,17477.18,73.39,74.73,-0.45,-1.83,-2.28,46.6,22.0,83.4,47.0,36.4,-1e-05,0.0
2024-01-22 04:00:00,2024-01-22 15:00:00,LONG_MNQ,LOSS,9,17551.0,17476.0,73.16,74.73,-0.43,-2.15,-2.57,51.5,21.3,81.9,45.1,36.8,-1e-06,4.0
2024-01-22 08:00:00,2024-01-22 15:00:00,LONG_MNQ,LOSS,7,17534.25,17465.33,73.16,74.73,-0.39,-2.15,-2.54,52.6,21.5,79.0,45.2,33.9,-0.0,8.0
2024-01-23 08:00:00,2024-01-23 13:00:00,SHORT_MNQ,LOSS,5,17437.5,17512.58,74.81,73.59,-0.43,1.63,1.2,34.7,21.6,56.1,57.4,-1.3,-1.2e-05,8.0
2024-01-24 20:00:00,2024-01-25 13:00:00,SHORT_MNQ,LOSS,16,17624.75,17704.62,75.45,76.16,-0.45,-0.94,-1.39,37.9,15.2,54.6,57.6,-2.9,-9e-06,20.0
2024-01-24 21:00:00,2024-01-25 14:00:00,SHORT_MNQ,LOSS,16,17633.0,17717.21,75.36,76.64,-0.48,-1.7,-2.18,35.7,15.7,55.4,56.7,-1.2,-1e-06,21.0
2024-01-25 00:00:00,2024-01-25 13:00:00,SHORT_MNQ,LOSS,13,17622.75,17707.1,75.4,76.16,-0.48,-1.01,-1.49,32.0,16.4,54.1,56.9,-2.8,-0.0,0.0
2024-01-26 00:00:00,2024-01-26 15:00:00,SHORT_MNQ,LOSS,15,17530.75,17624.82,77.26,77.21,-0.54,0.06,-0.47,20.0,32.1,42.6,64.3,-21.7,-1e-06,0.0
2024-01-26 08:00:00,2024-01-26 11:00:00,SHORT_MNQ,LOSS,3,17483.0,17547.47,76.8,76.78,-0.37,0.03,-0.34,26.8,30.5,39.8,57.0,-17.2,-0.0,8.0
2024-01-30 08:00:00,2024-01-30 13:00:00,LONG_MNQ,LOSS,5,17714.0,17666.59,76.74,76.22,-0.27,0.68,0.41,38.2,25.0,60.8,43.6,17.2,-2e-06,8.0
2024-01-30 20:00:00,2024-01-30 23:00:00,SHORT_MNQ,WIN,2,17584.25,17461.89,77.82,77.8,0.7,0.03,0.72,32.3,20.7,43.8,56.7,-12.9,-0.0,20.0
2024-01-31 00:00:00,2024-01-31 15:00:00,SHORT_MNQ,WIN,15,17446.5,17303.62,77.99,76.89,0.82,1.41,2.23,38.9,18.6,32.0,58.5,-26.6,-0.0,0.0
2024-02-02 08:00:00,2024-02-02 13:00:00,LONG_MNQ,LOSS,5,17616.25,17544.87,73.78,73.32,-0.41,0.62,0.22,41.2,38.2,63.5,34.3,29.2,-6e-06,8.0
2024-02-02 12:00:00,2024-02-02 13:00:00,LONG_MNQ,LOSS,1,17623.5,17583.46,73.7,73.32,-0.23,0.52,0.29,45.3,38.5,63.8,35.7,28.1,-1e-06,12.0
2024-02-02 16:00:00,2024-02-05 15:00:00,LONG_MNQ,LOSS,22,17702.5,17617.72,72.08,71.8,-0.48,0.39,-0.09,36.4,45.3,63.9,26.8,37.1,-7e-06,16.0
2024-02-02 20:00:00,2024-02-05 15:00:00,LONG_MNQ,LOSS,18,17729.25,17625.11,72.16,71.8,-0.59,0.5,-0.09,35.8,51.7,63.7,30.9,32.8,-3e-06,20.0
2024-02-02 21:00:00,2024-02-05 15:00:00,LONG_MNQ,LOSS,17,17686.0,17578.83,72.41,71.8,-0.61,0.84,0.24,34.7,52.2,59.6,34.0,25.5,-8e-06,21.0
2024-02-05 08:00:00,2024-02-05 15:00:00,LONG_MNQ,LOSS,7,17718.0,17669.06,72.22,71.8,-0.28,0.58,0.31,24.9,43.5,61.3,36.4,25.0,-1e-06,8.0
2024-02-08 12:00:00,2024-02-08 14:00:00,SHORT_MNQ,LOSS,2,17807.5,17833.29,74.86,75.28,-0.14,-0.56,-0.71,31.6,22.7,54.4,67.0,-12.6,-1e-06,12.0
2024-02-12 08:00:00,2024-02-12 14:00:00,LONG_MNQ,LOSS,6,18043.5,18014.95,76.34,76.74,-0.16,-0.52,-0.68,41.7,21.5,71.2,54.7,16.5,-1e-06,8.0
2024-02-12 12:00:00,2024-02-12 14:00:00,LONG_MNQ,LOSS,2,18040.25,18016.17,76.12,76.74,-0.13,-0.81,-0.95,41.3,21.2,68.4,50.3,18.2,-1e-06,12.0
2024-02-13 12:00:00,2024-02-13 13:00:00,SHORT_MNQ,LOSS,1,17832.5,17870.16,77.49,77.21,-0.21,0.36,0.15,33.6,21.3,32.2,62.1,-29.8,-0.0,12.0
2024-02-13 16:00:00,2024-02-14 12:00:00,SHORT_MNQ,LOSS,19,17721.75,17811.13,77.85,77.97,-0.5,-0.15,-0.66,39.3,18.1,31.2,64.6,-33.4,-3e-06,16.0
2024-02-13 21:00:00,2024-02-14 15:00:00,SHORT_MNQ,LOSS,17,17699.0,17820.37,77.77,77.87,-0.69,-0.13,-0.81,41.6,21.2,37.6,61.1,-23.6,-1e-06,21.0
2024-02-16 08:00:00,2024-02-16 13:00:00,LONG_MNQ,LOSS,5,18008.5,17956.4,77.69,78.44,-0.29,-0.97,-1.25,16.0,30.3,66.2,52.3,13.9,-1e-05,8.0
2024-02-19 04:00:00,2024-02-20 00:00:00,SHORT_MNQ,WIN,1,17779.25,17575.3,78.7,78.18,1.15,0.66,1.81,30.9,26.9,43.2,57.3,-14.1,-1e-06,4.0
2024-02-23 12:00:00,2024-02-23 14:00:00,LONG_MNQ,WIN,2,18042.25,18107.45,77.29,76.95,0.36,0.44,0.8,37.7,25.9,65.7,39.3,26.4,-0.0,12.0
2024-02-26 21:00:00,2024-02-27 10:00:00,SHORT_MNQ,LOSS,12,17949.25,18019.67,77.6,77.41,-0.39,0.24,-0.15,19.7,40.4,46.4,57.1,-10.6,-1e-06,21.0
