asset,entry_time,exit_time,direction,result,ret_r,pnl_pct,entry_price,stop_price,target_price,atr,conf
mnq,2024-06-26 08:00:00,2024-06-26 12:00:00,SHORT,WIN,3.0,3.0,20047.75,20090.45,19962.36,28.46,0.514
mnq,2024-06-28 10:00:00,2024-06-28 12:00:00,SHORT,LOSS,-1.5,-1.5,20126.75,20161.2,20057.86,22.96,0.508
mnq,2024-06-28 12:00:00,2024-06-28 13:00:00,SHORT,LOSS,-1.5,-1.5,20082.0,20120.92,20004.16,25.95,0.508
mnq,2024-06-28 13:00:00,2024-06-28 14:00:00,SHORT,LOSS,-1.5,-1.5,20148.25,20197.38,20050.0,32.75,0.541
mnq,2024-06-28 14:00:00,2024-06-28 16:00:00,SHORT,WIN,3.0,3.0,20141.0,20204.67,20013.66,42.45,0.526
mnq,2024-07-24 08:00:00,2024-07-24 13:00:00,SHORT,WIN,3.0,3.0,19745.75,19836.42,19564.41,60.45,0.513
mnq,2024-07-24 13:00:00,2024-07-24 16:00:00,SHORT,WIN,3.0,3.0,19511.25,19597.82,19338.11,57.71,0.522
mnq,2024-07-24 18:00:00,2024-07-25 13:00:00,SHORT,WIN,3.0,3.0,19248.25,19360.21,19024.32,74.64,0.502
mnq,2024-08-01 16:00:00,2024-08-02 02:00:00,SHORT,WIN,3.0,3.0,19090.75,19257.6,18757.05,111.23,0.509
mnq,2024-08-02 08:00:00,2024-08-02 14:00:00,SHORT,WIN,3.0,3.0,18729.75,18897.11,18395.04,111.57,0.625
mnq,2024-08-02 14:00:00,2024-08-02 15:00:00,SHORT,LOSS,-1.5,-1.5,18425.0,18601.01,18072.98,117.34,0.578
mnq,2024-08-02 15:00:00,2024-08-05 00:00:00,SHORT,WIN,3.0,3.0,18594.5,18788.94,18205.62,129.62,0.592
mnq,2024-08-05 08:00:00,2024-08-05 12:00:00,LONG,LOSS,-1.5,-1.5,17830.75,17547.3,18397.64,188.96,0.703
mnq,2024-08-05 12:00:00,2024-08-05 16:00:00,LONG,WIN,3.0,3.0,17535.5,17204.08,18198.34,220.95,0.63
mnq,2024-08-05 16:00:00,2024-08-06 16:00:00,LONG,EXPIRED,1.44,1.435,18041.75,17639.62,18846.02,268.09,0.669
mnq,2024-08-06 19:00:00,2024-08-07 20:00:00,LONG,EXPIRED,-2.13,-2.13,18171.5,17950.6,18613.3,147.27,0.55
mnq,2024-08-08 08:00:00,2024-08-08 14:00:00,LONG,WIN,3.0,3.0,17998.25,17819.88,18354.98,118.91,0.615
mnq,2024-09-03 08:00:00,2024-09-03 18:00:00,SHORT,WIN,3.0,3.0,19498.0,19720.19,19053.62,148.12,0.509
mnq,2024-09-03 18:00:00,2024-09-04 19:00:00,SHORT,EXPIRED,0.98,0.98,19045.25,19179.9,18775.95,89.77,0.618
mnq,2024-09-06 11:00:00,2024-09-06 12:00:00,SHORT,LOSS,-1.5,-1.5,18782.75,18872.8,18602.64,60.04,0.515
mnq,2025-01-29 16:00:00,2025-01-29 18:00:00,LONG,LOSS,-1.5,-1.5,21484.0,21398.04,21655.91,57.3,0.504
mnq,2025-02-03 15:00:00,2025-02-04 05:00:00,LONG,LOSS,-1.5,-1.5,21419.75,21265.84,21727.57,102.61,0.502
mnq,2025-02-05 08:00:00,2025-02-05 16:00:00,LONG,WIN,3.0,3.0,21468.75,21383.17,21639.91,57.05,0.524
mnq,2025-03-03 14:00:00,2025-03-03 15:00:00,SHORT,LOSS,-1.5,-1.5,20859.75,20980.42,20618.41,80.45,0.504
mnq,2025-03-10 08:00:00,2025-03-10 14:00:00,SHORT,WIN,3.0,3.0,19958.75,20141.83,19592.59,122.05,0.524
mnq,2025-03-10 14:00:00,2025-03-10 23:00:00,SHORT,WIN,3.0,3.0,19553.5,19702.83,19254.84,99.55,0.534
mnq,2025-03-11 12:00:00,2025-03-11 14:00:00,LONG,LOSS,-1.5,-1.5,19453.5,19294.45,19771.61,106.04,0.577
mnq,2025-03-11 14:00:00,2025-03-11 18:00:00,LONG,WIN,3.0,3.0,19314.0,19133.62,19674.75,120.25,0.594
mnq,2025-03-11 19:00:00,2025-03-12 20:00:00,LONG,EXPIRED,1.03,1.034,19393.5,19135.96,19908.59,171.7,0.595
mnq,2025-03-13 14:00:00,2025-03-13 16:00:00,LONG,LOSS,-1.5,-1.5,19423.75,19256.77,19757.71,111.32,0.513
mnq,2025-03-13 16:00:00,2025-03-14 15:00:00,LONG,WIN,3.0,3.0,19287.75,19094.62,19674.0,128.75,0.552
mnq,2025-03-19 11:00:00,2025-03-20 12:00:00,LONG,EXPIRED,1.03,1.032,19568.0,19190.88,20322.23,251.41,0.509
mnq,2025-03-20 14:00:00,2025-03-21 15:00:00,SHORT,EXPIRED,1.17,1.167,20042.75,20467.57,19193.11,283.21,0.562
mnq,2025-03-27 08:00:00,2025-03-27 13:00:00,SHORT,WIN,3.0,3.0,20112.0,20193.62,19948.77,54.41,0.502
mnq,2025-03-28 13:00:00,2025-03-28 14:00:00,SHORT,WIN,3.0,3.0,19856.75,19942.95,19684.36,57.46,0.547
mnq,2025-03-28 14:00:00,2025-03-28 20:00:00,SHORT,WIN,3.0,3.0,19606.0,19718.5,19381.0,75.0,0.504
mnq,2025-03-31 11:00:00,2025-03-31 13:00:00,LONG,LOSS,-1.5,-1.5,19171.0,19056.95,19399.11,76.04,0.525
mnq,2025-03-31 13:00:00,2025-03-31 18:00:00,LONG,WIN,3.0,3.0,19089.25,18959.5,19348.75,86.5,0.538
mnq,2025-04-03 08:00:00,2025-04-04 03:00:00,SHORT,WIN,3.0,3.0,19152.75,19434.94,18588.38,188.12,0.508
mnq,2025-04-04 08:00:00,2025-04-04 10:00:00,SHORT,WIN,3.0,3.0,18588.0,18737.97,18288.05,99.98,0.633
mnq,2025-04-04 10:00:00,2025-04-04 13:00:00,SHORT,LOSS,-1.5,-1.5,18085.0,18271.43,17712.14,124.29,0.674
mnq,2025-04-04 13:00:00,2025-04-04 14:00:00,SHORT,WIN,3.0,3.0,18195.0,18439.88,17705.25,163.25,0.666
mnq,2025-04-04 14:00:00,2025-04-07 00:00:00,SHORT,WIN,3.0,3.0,17854.5,18149.73,17264.04,196.82,0.613
